subject,timepoint,event,region,signal
s13,18,stim,parietal,-0.017551582
s5,14,stim,parietal,-0.080882932
s12,18,stim,parietal,-0.081033019
s11,18,stim,parietal,-0.04613439
s10,18,stim,parietal,-0.037970203
s9,18,stim,parietal,-0.103513096
s8,18,stim,parietal,-0.064408195
s7,18,stim,parietal,-0.060526202
s6,18,stim,parietal,-0.007028561
s5,18,stim,parietal,-0.040556855
s4,18,stim,parietal,-0.0488122
s3,18,stim,parietal,-0.047148146
s2,18,stim,parietal,-0.086622959
s1,18,stim,parietal,-0.046659046
s0,18,stim,parietal,-0.075569976
s13,17,stim,parietal,-0.008264625
s12,17,stim,parietal,-0.08851175
s7,9,stim,parietal,0.058896545
s10,17,stim,parietal,-0.016846517
s9,17,stim,parietal,-0.121573756
s8,17,stim,parietal,-0.076287121
s7,17,stim,parietal,-0.043812021
s6,17,stim,parietal,-0.014746389
s5,17,stim,parietal,-0.056682061
s4,17,stim,parietal,-0.044581901
s3,17,stim,parietal,-0.053514068
s2,17,stim,parietal,-0.0772924
s1,17,stim,parietal,-0.038020579
s0,17,stim,parietal,-0.071300385
s13,16,stim,parietal,-0.002856294
s12,16,stim,parietal,-0.089943363
s11,16,stim,parietal,-0.049587036
s10,16,stim,parietal,-0.013566318
s9,16,stim,parietal,-0.131640691
s8,16,stim,parietal,-0.093024311
s7,16,stim,parietal,-0.021897158
s8,9,stim,parietal,0.170226886
s5,16,stim,parietal,-0.064137842
s4,16,stim,parietal,-0.047433168
s3,16,stim,parietal,-0.071022402
s2,16,stim,parietal,-0.064998169
s1,16,stim,parietal,-0.061356031
s0,16,stim,parietal,-0.057715067
s13,15,stim,parietal,-0.010971463
s12,15,stim,parietal,-0.080697963
s11,15,stim,parietal,-0.072112194
s10,15,stim,parietal,-0.028809305
s9,15,stim,parietal,-0.134828403
s8,15,stim,parietal,-0.112577597
s7,15,stim,parietal,-0.009383129
s6,15,stim,parietal,-0.068720225
s5,15,stim,parietal,-0.070561538
s4,15,stim,parietal,-0.056031053
s3,15,stim,parietal,-0.090735182
s2,15,stim,parietal,-0.055461857
s1,15,stim,parietal,-0.110742322
s0,15,stim,parietal,-0.053078665
s13,14,stim,parietal,-0.033713389
s12,14,stim,parietal,-0.068297337
s11,14,stim,parietal,-0.11446883
s10,14,stim,parietal,-0.052287724
s9,14,stim,parietal,-0.130266598
s8,14,stim,parietal,-0.12844753
s7,14,stim,parietal,-0.015139838
s6,14,stim,parietal,-0.098844634
s11,17,stim,parietal,-0.041960489
s4,14,stim,parietal,-0.063990407
s0,0,stim,frontal,-0.021452459
s3,14,stim,parietal,-0.110040788
s1,14,stim,parietal,-0.169311681
s0,14,stim,parietal,-0.052418752
s13,13,stim,parietal,-0.068637474
s12,13,stim,parietal,-0.056306338
s11,13,stim,parietal,-0.157834187
s10,13,stim,parietal,-0.073892349
s9,13,stim,parietal,-0.119383455
s8,13,stim,parietal,-0.123949693
s7,13,stim,parietal,-0.030026322
